"","sample_size_n","number_covariates_J","coefficient_k","nonnormal_covariates_1","coefficient_yonly","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"84",400,20,1.5,0,1,"lslx",FALSE,0.112869795531344,0.869940945535369,0.876801027721535,0,0.748053494591832,0.103,0.0832230719053498,1.73358422011567,0.794,0.31605,0.25,0.4
"85",400,20,1.5,0,1,"none",FALSE,1.01318956028295,0.630335404140286,1.19309617552708,0,0.660353692983572,0.328,NA,NA,NA,NA,NA,NA
"86",400,20,1.5,0,1,"pred.treat",FALSE,-0.0838382079129305,1.81621823439978,1.81724485730386,0,1.33724683391521,0.064,0.301342523736809,2.45526787740705,1,0.2,0.2,0.2
"87",400,20,1.5,0,1,"regsem",FALSE,0.572494508885555,0.878875258347329,1.04852241784306,0,0.682818005000458,0.211,0.0513390035360706,0.612660849682788,0.302,0.12205,0,0.25
"88",400,20,1.5,0,1,"stability_mle",TRUE,-0.0687195992855713,2.78282326687019,2.78228029009038,0,1.37171220069474,0.072,0.350846211436114,3.28602901561204,0.966,0.55505,0.35,0.75
"89",400,20,1.5,0,1,"target",FALSE,-0.0230938706721483,0.69864387748869,0.698676242008772,0,0.695356386917502,0.052,0.0466028866222006,0.27501084065272,NA,NA,NA,NA
"90",400,20,1.5,0,1,"unwanted.only",FALSE,1.51530503973237,0.982213845700154,1.80552725210248,0,0.915523675179433,0.422,0.135255050000157,2.11539085918883,NA,NA,NA,NA
"91",400,20,1.5,0,1.5,"glmnet",FALSE,0.0857309604515328,2.71240644796696,2.71240509286753,0,1.10707139257132,0.088,0.11767037046441,1.6559140905684,0.716,0.436,0.3,0.55
"92",400,20,1.5,0,1.5,"ipw.CBPS",FALSE,0.240312364316889,1.30853738147248,1.32977736522913,0,1.26974849607845,0.057,0.276603553879803,0.524969402399698,NA,NA,NA,NA
"93",400,20,1.5,0,1.5,"ipw.GBM",FALSE,0.795026151869156,0.894376729283694,1.19631785337601,0,0.896895056133893,0.16,0.560199,0.711,NA,NA,NA,NA
"94",400,20,1.5,0,1.5,"lslx",FALSE,0.272388570385445,1.14076176583348,1.1722762482699,0,0.908868414330566,0.111,0.0581948047094384,1.49487270318479,0.513,0.25765,0.2,0.35
"95",400,20,1.5,0,1.5,"none",FALSE,1.00234345453423,0.855111447377149,1.31726108752048,0,0.847756405815327,0.224,NA,NA,NA,NA,NA,NA
"96",400,20,1.5,0,1.5,"pred.treat",FALSE,-0.0663087667618857,2.47671410495251,2.47636336135522,0,1.70797810322742,0.074,0.298361516576723,2.06252996097593,1,0.2,0.2,0.2
