"","sample_size_n","number_covariates_J","coefficient_k","binary_covariates_1","number_unwanted_inS3","collider_bias_1","binary_treatment_1","meth","DS","bias","ese","rmse","pr.NAs","ase","typeI","max_sb.av","max_sb.max","confounders","total","total.lo","total.up"
"27",400,20,0.5,0,2,1,1,"target.mle",FALSE,0.0576455489505725,0.878349560083091,0.879800807604922,0,0.851267698130449,0.045,0.120516293295138,1.40292221167416,NA,NA,NA,NA
"28",400,20,0.5,0,2,1,1,"unwanted.only.mle",FALSE,1.45965624785507,0.680523535973353,1.61035571617982,0,0.669667646490294,0.6,0.00149598654823007,0.0158182546492916,NA,NA,NA,NA
"29",400,20,0.5,0,4,0,1,"SignifReg.mle",FALSE,0.170667013625908,0.827450026306288,0.844462019292892,0,0.735128525180845,0.091,0.0653942149885343,0.665166781417231,0.602,0.175,0.15,0.2
"30",400,20,0.5,0,4,0,1,"all.ipw.CBPS",FALSE,0.315332629972136,0.864313896993086,0.919633699658719,0,0.846335599839618,0.067,0.20099874606912,0.354419854289574,NA,NA,NA,NA
"31",400,20,0.5,0,4,0,1,"all.ipw.GBM",FALSE,0.825890412502498,0.708926378495194,1.08819529817939,0,0.694011560655686,0.232,0.439881,0.6,NA,NA,NA,NA
"32",400,20,0.5,0,4,0,1,"glmnet.DS.mle",TRUE,-0.0250123128676526,1.18151413221136,1.18118808187585,0,1.01581495126257,0.062,0.225298251247434,1.2732535414713,1,0.7355,0.6,0.85
"33",400,20,0.5,0,4,0,1,"glmnet.mle",FALSE,0.089171577855797,0.967451606422937,0.971070655749026,0,0.819799869603247,0.09,0.125504630365703,1.02349563035316,0.842,0.45455,0.3,0.55
"34",400,20,0.5,0,4,0,1,"lslx.mle",FALSE,0.176537420649422,0.931884197010677,0.948000637853766,0,0.764708799020682,0.122,0.0935851916340978,0.698542666782057,0.718,0.3002,0.2,0.4
"35",400,20,0.5,0,4,0,1,"none.mle",FALSE,1.30505837491034,0.698518864448227,1.48007365942025,0,0.662667007867052,0.522,NA,NA,NA,NA,NA,NA
"36",400,20,0.5,0,4,0,1,"post_lslx",FALSE,0.113696799753803,0.879901773139614,0.886780618596346,0,0.710966629201166,0.117,NA,NA,NA,NA,NA,NA
"37",400,20,0.5,0,4,0,1,"regsem.mle",FALSE,0.808847755109337,0.987629183235616,1.27619382662685,0,0.692418482171004,0.352,0.0617084315625693,0.566044086917832,0.257,0.1132,0,0.2
"38",400,20,0.5,0,4,0,1,"rlassoEffect.ds",TRUE,-0.021127846916771,0.799486918415825,0.799366336106701,0,0.773919094196107,0.049,NA,NA,NA,NA,NA,NA
"39",400,20,0.5,0,4,0,1,"stability_CBPS.CBPS",TRUE,-0.0234660017549643,0.9069197664695,0.906769878518604,0,0.768478503791572,0.092,0.181761844787134,0.385581230927544,0.998,0.61615,0.4,0.85
"40",400,20,0.5,0,4,0,1,"stability_mle.mle",TRUE,-0.0112444876803309,1.06938184431311,1.06890616516173,0,0.941083192850944,0.061,0.190884328680521,1.10300791525493,0.999,0.5404,0.35,0.75
"41",400,20,0.5,0,4,0,1,"target.mle",FALSE,-0.0109746985407857,0.819362514078307,0.819026262433207,0,0.773392410690921,0.064,0.0904361714128009,0.665166781417231,NA,NA,NA,NA
"42",400,20,0.5,0,4,0,1,"unwanted.only.mle",FALSE,1.46124522071143,0.758693217338161,1.64629200863301,0,0.71456578646496,0.546,0.0360185670939609,0.391356243567466,NA,NA,NA,NA
"43",400,20,0.5,0,4,1,1,"SignifReg.mle",FALSE,0.222881324562004,0.91874255693746,0.944944380839722,0,0.777799818568249,0.109,0.0863615540397737,0.475616753434483,0.603,0.17575,0.15,0.2
"44",400,20,0.5,0,4,1,1,"all.ipw.CBPS",FALSE,0.351759372988651,0.761452854055493,0.838430256482718,0,0.793823634969035,0.071,0.20669724628241,0.353126814856555,NA,NA,NA,NA
"45",400,20,0.5,0,4,1,1,"all.ipw.GBM",FALSE,0.782425410593106,0.693511990264197,1.04530734470841,0,0.710222931493528,0.197,0.414942,0.551,NA,NA,NA,NA
"46",400,20,0.5,0,4,1,1,"glmnet.DS.mle",TRUE,0.0116742201950988,0.891013663431652,0.890644559008045,0,0.857747344508336,0.061,0.157300824246736,1.46274426974169,1,0.57795,0.4,0.75
"47",400,20,0.5,0,4,1,1,"glmnet.mle",FALSE,0.0876901455748239,0.893460977437394,0.897309203851222,0,0.811084748289355,0.088,0.131654917347825,0.80892006546692,0.833,0.4636,0.35,0.6
